instance,SI,SF,dev_SI_pct,dev_BKV_pct,time_MH_ms,time_solver_ms,seed
oma01,456.0,464.0,-1.8,1.69,42.7,613257.5,3
oma02,445.4,454.4,-2.03,4.14,46.2,614411.6,2
oma03,447.4,462.8,-3.49,1.53,32.1,605738.7,0
oma04,446.0,456.8,-2.43,2.81,38.3,610835.1,2
oma05,456.6,467.4,-2.39,1.39,37.5,612999.0,0
oma06,692.2,696.8,-0.66,3.09,74.3,613947.0,2
oma07,697.0,709.0,-1.72,2.07,77.1,613987.4,1
oma08,689.2,718.8,-4.32,1.8,90.1,601277.4,1
oma09,694.0,700.0,-0.87,4.5,83.1,601182.4,0
oma10,692.2,697.2,-0.72,3.3,54.8,600964.5,1
