instance,BKV,obtido,dev_BKV_pct,status,time_ms
oma01,472,464.0,1.69,limite de tempo,613257.5
oma02,474,450.0,5.06,limite de tempo,614411.6
oma03,470,450.0,4.26,limite de tempo,605738.7
oma04,470,453.0,3.62,limite de tempo,610835.1
oma05,474,452.0,4.64,limite de tempo,612999.0
oma06,719,677.0,5.84,limite de tempo,613947.0
oma07,724,655.0,9.53,limite de tempo,613987.4
oma08,732,659.0,9.97,limite de tempo,601277.4
oma09,733,659.0,10.1,limite de tempo,601182.4
oma10,721,660.0,8.46,limite de tempo,600964.5
